가게이름,업종분류,대표메뉴,평균가격,주타겟층,상권분류
촌장골 안산점,고가음식점,국내산돼지양념구이,23000,40-50대,성포고주변
성포24시감자탕,일반음식점,뼈다귀해장국,10000,30-50대,성포고주변
성포정육식당,고가음식점,삼겹살(200g),16000,30-50대,성포고주변
해산물요리전문점 어부,고가음식점,생선구이정식,14000,40-50대,성포고주변
민낙지 안산성포본점,고가음식점,낙지덮밥,14000,30-50대,성포고주변
BHC치킨 안산성포점,일반음식점,뿌링클,21000,10-30대,성포고주변
도스마스 안산성포점,학생편의,믹스부리또,5500,10-20대,성포고주변
신참떡볶이 안산성포점,학생편의,떡볶이세트,8500,10-20대,성포고주변
컴포즈커피 안산성포점,카페/디저트,아이스아메리카노,1500,10-40대,성포고주변
메가MGC커피 안산성포현대점,카페/디저트,메가리카노,3000,10-50대,성포고주변
이삭토스트 안산성포점,학생편의,햄스페셜토스트,3500,10-30대,성포고주변
라화공방마라탕 성포점,학생편의,마라탕(기본),7000,10-20대,성포고주변
한솥도시락 안산성포동점,학생편의,치킨마요,3800,10-20대,성포고주변
GS25 성포선경점,학생편의,편의점도시락,5200,10-30대,성포고주변
다이소 안산성포동점,학생편의,학용품,2000,10-50대,성포고주변
스타벅스 안산성포DT점,카페/디저트,카페라떼,5000,20-40대,성포고주변
파리바게뜨 안산성포점,카페/디저트,단팥빵/소보루,1800,10-50대,성포고주변
아마스빈 안산성포점,카페/디저트,타피오카밀크티,4200,10-20대,성포고주변
투썸플레이스 안산성포점,카페/디저트,떠먹는아이스박스,6500,20-40대,성포고주변
디저트39 안산성포점,카페/디저트,초당옥수수아메리카노,2900,10-30대,성포고주변
빽다방 안산예술광장점,카페/디저트,빽스치노,3800,10-40대,성포고주변
쥬씨 안산성포점,카페/디저트,딸바믹스쥬스,3000,10-20대,성포고주변
두끼 안산성포점,학생편의,학생무한리필뷔페,9900,10-20대,성포고주변
탕화쿵푸마라탕 성포예술광장점,학생편의,마라탕(100g),1900,10-20대,성포고주변
예술광장노래연습장,학생편의,청소년코인노래(4곡),1000,10-20대,성포고주변
스타PC방 성포점,학생편의,1시간이용료,1500,10-20대,성포고주변
인생네컷 안산성포점,학생편의,4컷사진(2장),4000,10-20대,성포고주변
성포동 동네카페_27,카페/디저트,커피 및 음료,2941,20-50대,성포고주변
성포동 동네카페_28,카페/디저트,커피 및 음료,4055,10-40대,성포고주변
